contig	genus	size	category-pident_90	rep_type(s)	relaxase_type(s)	mpf_type	orit_type(s)	predicted_mobility	AMR_type
GCF_002844685.1-NZ_CP025329.1	Escherichia	286854	typical plasmid	IncFIA,IncFIB,IncFIC,rep_cluster_2244,rep_cluster_2313	MOBF,MOBF,MOBP	MPF_F	MOBF	conjugative	AMR
GCF_029962285.1-NZ_CP124741.1	Escherichia	286775	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_039679135.1-NZ_CP155556.1	Escherichia	286601	typical plasmid	IncHI2A,IncX1,rep_cluster_1088	MOBH,MOBP	MPF_T	MOBH	conjugative	AMR
GCF_007833255.1-NZ_CP042245.1	Escherichia	285922	typical plasmid	IncFIA,IncFIB,IncFIC,IncFII,rep_cluster_2244,rep_cluster_2313	MOBF,MOBP	MPF_F	MOBF	conjugative	AMR
GCF_013829265.1-NZ_CP057358.1	Escherichia	285327	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_030296175.1-NZ_AP027418.1	Escherichia	284829	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_017570665.1-NZ_CP069683.1	Escherichia	283245	typical plasmid	IncHI2A,IncQ1,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_013596835.1-NZ_CP055676.1	Escherichia	282651	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_025369815.1-NZ_CP104501.1	Escherichia	281548	typical plasmid	IncFIB,IncHI2A,rep_cluster_1088	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_024298945.1-NZ_CP084057.1	Escherichia	280258	typical plasmid	IncFIA	MOBH	MPF_F	-	conjugative	AMR
GCF_008033295.1-NZ_CP042868.1	Escherichia	279992	typical plasmid	IncFIB,IncHI1B	MOBH	MPF_F	-	conjugative	AMR
GCF_018460065.1-NZ_CP075378.1	Escherichia	279642	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_048585745.1-NZ_CP184144.1	Escherichia	279329	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_008152105.1-NZ_CP041997.1	Escherichia	278067	typical plasmid	IncFIB,IncFIC,IncN,rep_cluster_1088,rep_cluster_2244	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_002163955.1-NZ_CP019559.1	Escherichia	277790	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_047782795.1-NZ_CP180633.1	Escherichia	277485	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_013825725.1-NZ_CP057312.1	Escherichia	277375	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_029716165.1-NZ_CP099350.1	Escherichia	277375	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_003204955.1-NZ_CP029748.1	Escherichia	276880	typical plasmid	IncFIB,IncFIC,IncN,rep_cluster_1088,rep_cluster_2244	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_041320115.1-NZ_CP100959.1	Escherichia	276836	typical plasmid	IncHI1B,IncQ1	MOBH	MPF_F	-	conjugative	AMR
GCF_965319085.1-NZ_OZ261675.1	Escherichia	275956	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_001971765.1-NZ_CP019356.1	Escherichia	275899	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_041317075.1-NZ_CP100902.1	Escherichia	275284	typical plasmid	IncHI1B,rep_cluster_2358	MOBH,MOBP	MPF_F	-	conjugative	AMR
GCF_031787095.1-NZ_CP133924.1	Escherichia	274233	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_900196535.2-NZ_CP043545.1	Escherichia	274059	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_032359195.1-NZ_CP119442.1	Escherichia	274029	typical plasmid	IncFIA	MOBF,MOBF,MOBP	MPF_F	MOBF	conjugative	non-AMR
GCF_024298765.1-NZ_CP101211.1	Escherichia	274018	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_030169635.1-NZ_CP104630.1	Escherichia	273959	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_041316845.1-NZ_CP100896.1	Escherichia	273522	typical plasmid	IncHI2A,IncQ1,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_032463745.1-NZ_CP136026.1	Escherichia	273302	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_016944735.1-NZ_CP063512.1	Escherichia	273218	typical plasmid	IncFIA	-	MPF_F	-	non-mobilizable	AMR
GCF_013340805.1-NZ_AP023198.1	Escherichia	272842	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_013340785.1-NZ_AP023191.1	Escherichia	272842	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_036499905.1-NZ_AP027640.1	Escherichia	272804	typical plasmid	IncHI1B,IncHI1B	MOBH,MOBH,MOBH	MPF_F	-	conjugative	AMR
GCF_045037555.1-NZ_CP173491.1	Escherichia	272740	typical plasmid	IncFIB,IncHI1B,rep_cluster_1254	MOBH	MPF_F	-	conjugative	AMR
GCF_045037705.1-NZ_CP173541.1	Escherichia	272512	typical plasmid	IncFIB,IncHI1B,rep_cluster_1254	MOBH	MPF_F	-	conjugative	AMR
GCF_002012125.1-NZ_CP019001.1	Escherichia	272202	typical plasmid	IncC,IncFIA,IncFII,IncU	MOBF,MOBH,MOBH	MPF_F	MOBF,MOBH	conjugative	AMR
GCF_041317665.1-NZ_CP101015.1	Escherichia	271690	typical plasmid	IncHI1A,IncQ1	MOBH	MPF_F	-	conjugative	AMR
GCF_018988385.1-NZ_CP068042.1	Escherichia	270816	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_041316455.1-NZ_CP100880.1	Escherichia	270492	typical plasmid	IncHI1A,IncQ1	MOBH	MPF_F	-	conjugative	AMR
GCF_020683085.1-NZ_CP085623.1	Escherichia	269592	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_023546825.1-NZ_CP097364.1	Escherichia	269522	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_009866945.2-NZ_CP026933.2	Escherichia	268665	typical plasmid	IncHI2A,IncQ1,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_023921205.1-NZ_CP071712.1	Escherichia	268215	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_017903455.1-NZ_CP072803.1	Escherichia	267744	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_014770895.1-NZ_CP061755.1	Escherichia	267684	typical plasmid	IncHI1A	MOBH	MPF_F	-	conjugative	non-AMR
GCF_030863965.1-NZ_CP132982.1	Escherichia	267517	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_029227855.1-NZ_CP074357.1	Escherichia	267429	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_018279225.1-NZ_CP059836.1	Escherichia	267184	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_019428625.1-NZ_CP080122.1	Escherichia	267091	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_024971815.1-NZ_CP079769.1	Escherichia	266941	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_018966845.1-NZ_CP076648.1	Escherichia	266777	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_041320125.1-NZ_CP100963.1	Escherichia	266709	typical plasmid	IncHI1B,IncQ1	MOBH	MPF_F	-	conjugative	AMR
GCF_041016875.1-NZ_CP158675.1	Escherichia	266602	typical plasmid	IncFIB,IncHI1B	MOBH	MPF_F	-	conjugative	non-AMR
GCF_041879495.1-NZ_CP168999.1	Escherichia	266559	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_008033315.1-NZ_CP042866.1	Escherichia	266396	typical plasmid	IncHI1B	MOBH	MPF_F	-	conjugative	AMR
GCF_027944735.1-NZ_CP116107.1	Escherichia	266247	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_030012725.1-NZ_CP122916.1	Escherichia	266050	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_016904815.1-NZ_CP070297.1	Escherichia	266043	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_024971795.1-NZ_CP079765.1	Escherichia	265589	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_004924355.1-NZ_CP038139.1	Escherichia	265575	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_002811555.3-NZ_CP027202.2	Escherichia	265538	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_016806005.1-NZ_CP019353.1	Escherichia	265134	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_048018425.1-NZ_CP181473.1	Escherichia	264857	typical plasmid	IncFII,IncR,rep_cluster_2183	MOBF,MOBF	MPF_F	-	conjugative	AMR
GCF_002953435.1-NZ_CP026492.1	Escherichia	264344	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_013201175.1-NZ_CP053721.1	Escherichia	264177	typical plasmid	IncHI1A	MOBH	MPF_F	-	conjugative	AMR
GCF_045689925.1-NZ_CP142707.1	Escherichia	263549	typical plasmid	IncFIA,IncFIB,IncFIC,rep_cluster_2244	MOBF,MOBP	MPF_F	MOBF	conjugative	AMR
GCF_041316755.1-NZ_CP100891.1	Escherichia	263237	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_018499845.2-NZ_CP091926.1	Escherichia	263021	typical plasmid	IncHI2A,IncQ1,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_018499805.2-NZ_CP104385.1	Escherichia	263021	typical plasmid	IncHI2A,IncQ1,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_023238365.1-NZ_CP096588.1	Escherichia	262413	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_023373585.1-NZ_CP086679.1	Escherichia	262144	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_028898885.1-NZ_CP118602.1	Escherichia	261710	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_028473865.1-NZ_CP103330.1	Escherichia	261664	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_016026235.1-NZ_CP065614.1	Escherichia	261275	typical plasmid	IncFIA,IncFIC	MOBF,MOBP	MPF_F	MOBF	conjugative	non-AMR
GCF_030295055.1-NZ_AP025547.1	Escherichia	260770	typical plasmid	IncHI1A	MOBH	MPF_F	-	conjugative	AMR
GCF_029916805.1-NZ_CP123952.1	Escherichia	260368	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_024125695.1-NZ_CP099722.1	Escherichia	260179	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_030384845.1-NZ_CP128610.1	Escherichia	260021	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_040215525.1-NZ_CP157956.1	Escherichia	259813	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_002494365.2-NZ_CP030920.1	Escherichia	259094	typical plasmid	IncFIB,rep_cluster_1088	-	-	-	non-mobilizable	non-AMR
GCF_025402935.1-NZ_CP104789.1	Escherichia	259017	typical plasmid	IncHI2A,rep_cluster_1088	-	MPF_F	-	non-mobilizable	AMR
GCF_003399945.2-NZ_CP042895.1	Escherichia	258004	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_003325975.1-NZ_CP030940.1	Escherichia	257394	typical plasmid	IncHI2A,IncQ1,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_004114395.1-NZ_CP034390.1	Escherichia	257270	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_029278625.2-NZ_CP119578.1	Escherichia	257019	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_041320105.1-NZ_CP100955.1	Escherichia	256992	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_022453585.1-NZ_CP092646.1	Escherichia	256955	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_036549195.1-NZ_CP144366.1	Escherichia	256300	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_026247845.1-NZ_CP111005.1	Escherichia	256283	typical plasmid	IncFIB,IncHI1B,IncN	MOBF	MPF_T	MOBF	conjugative	AMR
GCF_014189395.1-NZ_CP047278.1	Escherichia	256225	typical plasmid	IncC,IncFIB,IncFIC,IncFII	MOBF,MOBH,MOBH	MPF_F	MOBH,MOBP	conjugative	AMR
GCF_020023425.1-NZ_CP070874.1	Escherichia	255882	typical plasmid	IncHI2A,rep_cluster_1088	MOBH,MOBH	MPF_F	MOBH	conjugative	AMR
GCF_029635575.1-NZ_CP109956.1	Escherichia	255823	typical plasmid	IncFIB,IncFIC,IncI-gamma/K1,rep_cluster_2244,rep_cluster_2313	MOBF,MOBP	MPF_I	MOBF,MOBP	conjugative	non-AMR
GCF_023653825.1-NZ_CP083611.1	Escherichia	255611	typical plasmid	IncFIB,IncHI1B,IncN	MOBF	MPF_T	-	conjugative	non-AMR
GCF_050859195.1-NZ_CP154407.1	Escherichia	255451	typical plasmid	IncHI1A	MOBH	MPF_F	-	conjugative	AMR
GCF_050859165.1-NZ_CP154402.1	Escherichia	255441	typical plasmid	IncHI1A	MOBH	MPF_F	-	conjugative	AMR
GCF_001610755.1-NZ_CP011062.1	Escherichia	255368	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_002853805.1-NZ_CP024143.1	Escherichia	254423	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_004006575.1-NZ_CP034788.1	Escherichia	254365	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_029636805.1-NZ_CP049114.1	Escherichia	254290	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_025999655.1-NZ_AP026962.1	Escherichia	254266	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_004368015.1-NZ_CP029058.1	Escherichia	253947	typical plasmid	IncFIA,IncFII,IncI-gamma/K1	MOBF,MOBP	MPF_F	MOBF,MOBP	conjugative	AMR
GCF_003790525.1-NZ_CP033636.1	Escherichia	253793	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_020616495.1-NZ_CP085189.1	Escherichia	253380	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_030296155.1-NZ_AP027416.1	Escherichia	253349	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_045689885.1-NZ_CP142678.1	Escherichia	252870	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_040529135.1-NZ_CP156814.1	Escherichia	252734	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_024585365.1-NZ_CP073925.1	Escherichia	252347	typical plasmid	IncHI1A,IncQ1	MOBH	MPF_F	-	conjugative	AMR
GCF_041320055.1-NZ_CP100937.1	Escherichia	252113	typical plasmid	IncFIB,rep_cluster_1088	MOBH	-	-	mobilizable	AMR
GCF_047305245.1-NZ_CP166684.1	Escherichia	251846	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_041251595.1-NZ_CP158431.1	Escherichia	251411	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_002951775.1-NZ_CP019260.1	Escherichia	251286	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_009913415.1-NZ_CP047877.1	Escherichia	251000	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_009909485.1-NZ_CP047666.1	Escherichia	251000	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
