contig	genus	size	category-pident_90	chromid	ref_data
GCF_001660565.1-NZ_CP015996.1	Escherichia	93029	typical plasmid	No	
GCF_001660565.1-NZ_CP015997.1	Escherichia	98216	typical plasmid	No	
GCF_001660585.1-NZ_CP016007.1	Escherichia	5026105	typical chromosome	No	
GCF_001660585.1-NZ_CP016008.1	Escherichia	40158	typical plasmid	No	
GCF_001660585.1-NZ_CP016009.1	Escherichia	8556	typical plasmid	No	
GCF_001663075.1-NZ_CP016018.1	Escherichia	4595577	typical chromosome	No	
GCF_001663475.1-NZ_CP015159.1	Escherichia	5012253	typical chromosome	No	
GCF_001663475.1-NZ_CP015160.1	Escherichia	212180	typical plasmid	No	
GCF_001663475.1-NZ_CP015161.1	Escherichia	88023	typical plasmid	No	
GCF_001675145.1-NZ_CP014667.1	Escherichia	5116831	typical chromosome	No	
GCF_001675145.1-NZ_CP014668.1	Escherichia	101201	typical plasmid	No	
GCF_001675145.1-NZ_CP014669.1	Escherichia	113852	typical plasmid	No	
GCF_001677475.2-NZ_CP015229.1	Escherichia	5498453	typical chromosome	No	
GCF_001677475.2-NZ_CP012497.1	Escherichia	136480	typical plasmid	No	
GCF_001677475.2-NZ_CP012498.1	Escherichia	213847	typical plasmid	No	
GCF_001677495.1-NZ_CP015228.1	Escherichia	5286558	typical chromosome	No	
GCF_001677495.1-NZ_CP012500.1	Escherichia	225292	typical plasmid	No	
GCF_001677515.1-NZ_CP013662.1	Escherichia	5213998	typical chromosome	No	
GCF_001677515.1-NZ_CP012501.1	Escherichia	242187	typical plasmid	No	
GCF_001678925.1-NZ_CP013031.1	Escherichia	4731493	typical chromosome	No	
GCF_001678965.1-NZ_CP013663.1	Escherichia	5233459	typical chromosome	No	
GCF_001678965.1-NZ_CP012499.1	Escherichia	223952	typical plasmid	No	
GCF_001679985.1-NZ_CP015912.1	Escherichia	5005730	typical chromosome	No	
GCF_001679985.1-NZ_CP015913.1	Escherichia	65888	typical plasmid	No	
GCF_001679985.1-NZ_CP015914.1	Escherichia	129035	typical plasmid	No	
GCF_001679985.1-NZ_CP015915.1	Escherichia	114472	typical plasmid	No	
GCF_001679985.1-NZ_CP015916.1	Escherichia	100096	typical plasmid	No	
GCF_001679985.1-NZ_CP015917.1	Escherichia	8972	typical plasmid	No	
GCF_001682305.2-NZ_CP016182.2	Escherichia	4617703	typical chromosome	No	
GCF_001683435.1-NZ_CP016358.1	Escherichia	5154641	typical chromosome	No	
GCF_001693315.1-NZ_CP016497.1	Escherichia	5178720	typical chromosome	No	
GCF_001693315.1-NZ_CP016498.1	Escherichia	151033	typical plasmid	No	
GCF_001693635.1-NZ_CP016546.1	Escherichia	5134536	typical chromosome	No	
GCF_001693635.1-NZ_CP016547.1	Escherichia	86371	typical plasmid	No	
GCF_001693635.1-NZ_CP016548.1	Escherichia	90835	typical plasmid	No	
GCF_001693635.1-NZ_CP016549.1	Escherichia	126046	typical plasmid	No	
GCF_001693635.1-NZ_CP016550.1	Escherichia	49695	typical plasmid	No	
GCF_001693635.1-NZ_CP016551.1	Escherichia	7395	typical plasmid	No	
GCF_001721125.1-NZ_CP012693.1	Escherichia	5704396	typical chromosome	No	
GCF_001721225.1-NZ_CP014583.1	Escherichia	5193734	typical chromosome	No	
GCF_001721225.1-NZ_CP012493.1	Escherichia	52297	typical plasmid	No	
GCF_001721225.1-NZ_CP012492.1	Escherichia	34714	typical plasmid	No	
GCF_001721225.1-NZ_CP012491.1	Escherichia	95721	typical plasmid	No	
GCF_001721525.1-NZ_CP015834.1	Escherichia	5176750	typical chromosome	No	
GCF_001721525.1-NZ_CP015835.1	Escherichia	137565	typical plasmid	No	
GCF_001721525.1-NZ_CP015836.1	Escherichia	136327	typical plasmid	No	
GCF_001721525.1-NZ_CP015837.1	Escherichia	98242	typical plasmid	No	
GCF_001721525.1-NZ_CP015838.1	Escherichia	50899	typical plasmid	No	
GCF_001723505.1-NZ_CP017100.1	Escherichia	4583637	typical chromosome	No	
GCF_001735705.1-NZ_CP016404.1	Escherichia	4668621	typical chromosome	No	
GCF_001735705.1-NZ_CP016405.1	Escherichia	63329	typical plasmid	No	
GCF_001750845.1-NZ_CP013190.1	Escherichia	4830073	typical chromosome	No	
GCF_001750845.1-NZ_CP013191.1	Escherichia	106519	typical plasmid	No	
GCF_001750845.1-NZ_CP013192.1	Escherichia	57478	typical plasmid	No	
GCF_001750845.1-NZ_CP013193.1	Escherichia	66990	typical plasmid	No	
GCF_001750845.1-NZ_CP013194.1	Escherichia	39792	typical plasmid	No	
GCF_001806265.1-NZ_CP017249.1	Escherichia	5467107	typical chromosome	No	
GCF_001806265.1-NZ_CP017250.1	Escherichia	92690	typical plasmid	No	
GCF_001806285.1-NZ_CP017251.1	Escherichia	5466770	typical chromosome	No	
GCF_001806285.1-NZ_CP017252.1	Escherichia	92691	typical plasmid	No	
GCF_001860505.1-NZ_CP013483.1	Escherichia	4839266	typical chromosome	No	
GCF_001886535.1-NZ_CP018103.1	Escherichia	4794148	typical chromosome	No	
GCF_001886535.1-NZ_CP018108.1	Escherichia	5310	typical plasmid	No	
GCF_001886535.1-NZ_CP018107.1	Escherichia	61085	typical plasmid	No	
GCF_001886535.1-NZ_CP018105.1	Escherichia	67946	typical plasmid	No	
GCF_001886535.1-NZ_CP018106.1	Escherichia	64467	typical plasmid	No	
GCF_001886535.1-NZ_CP018104.1	Escherichia	207960	typical plasmid	No	
GCF_001886555.1-NZ_CP018115.1	Escherichia	4798436	typical chromosome	No	
GCF_001886555.1-NZ_CP018116.1	Escherichia	119254	typical plasmid	No	
GCF_001886555.1-NZ_CP018120.1	Escherichia	5310	typical plasmid	No	
GCF_001886555.1-NZ_CP018119.1	Escherichia	61085	typical plasmid	No	
GCF_001886555.1-NZ_CP018118.1	Escherichia	64467	typical plasmid	No	
GCF_001886555.1-NZ_CP018117.1	Escherichia	67946	typical plasmid	No	
GCF_001886575.1-NZ_CP018121.1	Escherichia	4794148	typical chromosome	No	
GCF_001886575.1-NZ_CP018122.1	Escherichia	120326	typical plasmid	No	
GCF_001886575.1-NZ_CP018126.1	Escherichia	5310	typical plasmid	No	
GCF_001886575.1-NZ_CP018125.1	Escherichia	61085	typical plasmid	No	
GCF_001886575.1-NZ_CP018124.1	Escherichia	65539	typical plasmid	No	
GCF_001886575.1-NZ_CP018123.1	Escherichia	67946	typical plasmid	No	
GCF_001886755.1-NZ_CP018109.1	Escherichia	4796421	typical chromosome	No	
GCF_001886755.1-NZ_CP018110.1	Escherichia	120326	typical plasmid	No	
GCF_001886755.1-NZ_CP018114.1	Escherichia	5310	typical plasmid	No	
GCF_001886755.1-NZ_CP018113.1	Escherichia	62157	typical plasmid	No	
GCF_001886755.1-NZ_CP018112.1	Escherichia	64467	typical plasmid	No	
GCF_001886755.1-NZ_CP018111.1	Escherichia	67946	typical plasmid	No	
GCF_001886895.1-NZ_CP013185.1	Escherichia	5189944	typical chromosome	No	
GCF_001886895.1-NZ_CP013186.1	Escherichia	77339	typical plasmid	No	
GCF_001886935.1-NZ_CP016628.1	Escherichia	4867152	typical chromosome	No	
GCF_001888075.1-NZ_CP017844.1	Escherichia	4718719	typical chromosome	No	
GCF_001888075.1-NZ_CP017848.1	Escherichia	137665	typical plasmid	No	
GCF_001888075.1-NZ_CP017845.1	Escherichia	5538	typical plasmid	No	
GCF_001888075.1-NZ_CP017846.1	Escherichia	47563	typical plasmid	No	
GCF_001888075.1-NZ_CP017847.1	Escherichia	113343	typical plasmid	No	
GCF_001890205.1-NZ_CP018237.1	Escherichia	5513008	typical chromosome	No	
GCF_001890205.1-NZ_CP018238.1	Escherichia	91420	typical plasmid	No	
GCF_001890225.1-NZ_CP018239.1	Escherichia	5474193	typical chromosome	No	
GCF_001890225.1-NZ_CP018240.1	Escherichia	94170	typical plasmid	No	
GCF_001890245.1-NZ_CP018245.1	Escherichia	5513531	typical chromosome	No	
GCF_001890245.1-NZ_CP018246.1	Escherichia	95341	typical plasmid	No	
GCF_001890265.1-NZ_CP018243.1	Escherichia	5411823	typical chromosome	No	
GCF_001890265.1-NZ_CP018244.1	Escherichia	92522	typical plasmid	No	
GCF_001890285.2-NZ_CP018252.2	Escherichia	5516496	typical chromosome	No	
GCF_001890285.2-NZ_CP018253.1	Escherichia	95229	typical plasmid	No	
GCF_001890305.1-NZ_CP018247.1	Escherichia	5370710	typical chromosome	No	
GCF_001890305.1-NZ_CP018248.1	Escherichia	91353	typical plasmid	No	
GCF_001890325.1-NZ_CP018241.1	Escherichia	5474890	typical chromosome	No	
GCF_001890325.1-NZ_CP018242.1	Escherichia	92495	typical plasmid	No	
GCF_001890345.1-NZ_CP018250.1	Escherichia	5428751	typical chromosome	No	
GCF_001890345.1-NZ_CP018251.1	Escherichia	91789	typical plasmid	No	
GCF_001890365.1-NZ_CP018206.1	Escherichia	5041399	typical chromosome	No	
GCF_001890365.1-NZ_CP018207.1	Escherichia	113140	typical plasmid	No	
GCF_001890365.1-NZ_CP018208.1	Escherichia	4074	typical plasmid	No	
GCF_001900295.1-NZ_CP010116.1	Escherichia	4843023	typical chromosome	No	
GCF_001900315.1-NZ_CP010121.1	Escherichia	4990476	typical chromosome	No	
GCF_001900335.1-NZ_CP010132.1	Escherichia	5021692	typical chromosome	No	
GCF_001900355.1-NZ_CP010133.1	Escherichia	5414571	typical chromosome	No	
GCF_001900375.1-NZ_CP010150.1	Escherichia	4827779	typical chromosome	No	
GCF_001900395.1-NZ_CP010151.1	Escherichia	5130646	typical chromosome	No	
GCF_001900415.1-NZ_CP010169.1	Escherichia	4833228	typical chromosome	No	
GCF_001900435.1-NZ_CP010170.1	Escherichia	4832567	typical chromosome	No	
GCF_001900455.1-NZ_CP010171.1	Escherichia	4807161	typical chromosome	No	
GCF_001900475.1-NZ_CP010176.1	Escherichia	4805164	typical chromosome	No	
GCF_001900495.1-NZ_CP010117.1	Escherichia	4809836	typical chromosome	No	
GCF_001900495.1-NZ_CP010118.1	Escherichia	8401	typical plasmid	No	
GCF_001900515.1-NZ_CP010119.1	Escherichia	5349582	typical chromosome	No	
GCF_001900515.1-NZ_CP010120.1	Escherichia	63684	typical plasmid	No	
GCF_001900535.1-NZ_CP010122.1	Escherichia	5333488	typical chromosome	No	
GCF_001900535.1-NZ_CP010123.1	Escherichia	214445	typical plasmid	No	
GCF_001900535.1-NZ_CP010124.1	Escherichia	86032	typical plasmid	No	
GCF_001900555.1-NZ_CP010125.1	Escherichia	4901865	typical chromosome	No	
GCF_001900555.1-NZ_CP010126.1	Escherichia	143617	typical plasmid	No	
GCF_001900555.1-NZ_CP010127.1	Escherichia	42655	typical plasmid	No	
GCF_001900555.1-NZ_CP010128.1	Escherichia	7982	typical plasmid	No	
GCF_001900575.1-NZ_CP010129.1	Escherichia	4527935	typical chromosome	No	
GCF_001900575.1-NZ_CP010130.1	Escherichia	93062	typical plasmid	No	
GCF_001900575.1-NZ_CP010131.1	Escherichia	56460	typical plasmid	No	
GCF_001900595.1-NZ_CP010134.1	Escherichia	5060525	typical chromosome	No	
GCF_001900595.1-NZ_CP010135.1	Escherichia	91607	intermediate replicon	No	
GCF_001900595.1-NZ_CP010136.1	Escherichia	55203	typical plasmid	No	
GCF_001900615.1-NZ_CP010137.1	Escherichia	4765647	typical chromosome	No	
GCF_001900615.1-NZ_CP010138.1	Escherichia	83922	typical plasmid	No	
GCF_001900615.1-NZ_CP010139.1	Escherichia	27342	typical plasmid	No	
GCF_001900635.1-NZ_CP010140.1	Escherichia	4971154	typical chromosome	No	
GCF_001900635.1-NZ_CP010141.1	Escherichia	174041	typical plasmid	No	
GCF_001900635.1-NZ_CP010142.1	Escherichia	90974	typical plasmid	No	
GCF_001900655.1-NZ_CP010143.1	Escherichia	4821305	typical chromosome	No	
GCF_001900655.1-NZ_CP010144.1	Escherichia	114159	typical plasmid	No	
GCF_001900675.1-NZ_CP010145.1	Escherichia	4817460	typical chromosome	No	
GCF_001900675.1-NZ_CP010146.1	Escherichia	112874	typical plasmid	No	
GCF_001900675.1-NZ_CP010147.1	Escherichia	88754	typical plasmid	No	
GCF_001900695.1-NZ_CP010148.1	Escherichia	4711358	typical chromosome	No	
GCF_001900695.1-NZ_CP010149.1	Escherichia	199494	typical plasmid	No	
GCF_001900715.1-NZ_CP010152.1	Escherichia	4637555	typical chromosome	No	
GCF_001900715.1-NZ_CP010153.1	Escherichia	114159	typical plasmid	No	
GCF_001900715.1-NZ_CP010154.1	Escherichia	78557	typical plasmid	No	
GCF_001900715.1-NZ_CP010155.1	Escherichia	39406	typical plasmid	No	
GCF_001900715.1-NZ_CP010156.1	Escherichia	4600	typical plasmid	No	
GCF_001900735.1-NZ_CP010157.1	Escherichia	5112249	typical chromosome	No	
GCF_001900735.1-NZ_CP010158.1	Escherichia	128612	typical plasmid	No	
GCF_001900735.1-NZ_CP010159.1	Escherichia	6822	typical plasmid	No	
GCF_001900775.1-NZ_CP010160.1	Escherichia	4818512	typical chromosome	No	
GCF_001900775.1-NZ_CP010161.1	Escherichia	3989	typical plasmid	No	
GCF_001900775.1-NZ_CP010162.1	Escherichia	4075	typical plasmid	No	
GCF_001900795.1-NZ_CP010163.1	Escherichia	4531885	typical chromosome	No	
GCF_001900795.1-NZ_CP010164.1	Escherichia	29433	typical plasmid	No	
GCF_001900795.1-NZ_CP010165.1	Escherichia	5023	typical plasmid	No	
GCF_001900795.1-NZ_CP010166.1	Escherichia	11518	typical plasmid	No	
GCF_001900815.1-NZ_CP010167.1	Escherichia	4630919	typical chromosome	No	
GCF_001900815.1-NZ_CP010168.1	Escherichia	48243	typical plasmid	No	
GCF_001900835.1-NZ_CP010172.1	Escherichia	4929892	typical chromosome	No	
GCF_001900835.1-NZ_CP010173.1	Escherichia	94395	typical plasmid	No	
GCF_001900835.1-NZ_CP010174.1	Escherichia	106274	typical plasmid	No	
GCF_001900835.1-NZ_CP010175.1	Escherichia	6647	typical plasmid	No	
GCF_001900885.1-NZ_CP010177.1	Escherichia	4735489	typical chromosome	No	
GCF_001900905.1-NZ_CP010228.1	Escherichia	4632368	typical chromosome	No	
GCF_001900925.1-NZ_CP010230.1	Escherichia	4733615	typical chromosome	No	
GCF_001900945.1-NZ_CP010235.1	Escherichia	5399183	typical chromosome	No	
GCF_001900965.1-NZ_CP010236.1	Escherichia	4838808	typical chromosome	No	
GCF_001900985.1-NZ_CP010237.1	Escherichia	5043711	typical chromosome	No	
GCF_001901005.1-NZ_CP010178.1	Escherichia	4741552	typical chromosome	No	
GCF_001901005.1-NZ_CP010179.1	Escherichia	116417	typical plasmid	No	
GCF_001901025.1-NZ_CP010180.1	Escherichia	4941156	typical chromosome	No	
GCF_001901025.1-NZ_CP010181.1	Escherichia	201930	typical plasmid	No	
GCF_001901025.1-NZ_CP010182.1	Escherichia	4980	typical plasmid	No	
GCF_001901045.1-NZ_CP010183.1	Escherichia	4940434	typical chromosome	No	
GCF_001901045.1-NZ_CP010184.1	Escherichia	200925	typical plasmid	No	
GCF_001901045.1-NZ_CP010185.1	Escherichia	4980	typical plasmid	No	
GCF_001901065.1-NZ_CP010186.1	Escherichia	5146228	typical chromosome	No	
GCF_001901065.1-NZ_CP010187.1	Escherichia	146575	typical plasmid	No	
GCF_001901065.1-NZ_CP010188.1	Escherichia	6039	typical plasmid	No	
GCF_001901065.1-NZ_CP010189.1	Escherichia	6038	typical plasmid	No	
GCF_001901065.1-NZ_CP010190.1	Escherichia	5283	typical plasmid	No	
GCF_001901085.1-NZ_CP010191.1	Escherichia	4803944	typical chromosome	No	
GCF_001901085.1-NZ_CP010192.1	Escherichia	162720	typical plasmid	No	
GCF_001901085.1-NZ_CP010193.1	Escherichia	40584	typical plasmid	No	
GCF_001901085.1-NZ_CP010194.1	Escherichia	33372	typical plasmid	No	
GCF_001901085.1-NZ_CP010195.1	Escherichia	4962	typical plasmid	No	
GCF_001901105.1-NZ_CP010196.1	Escherichia	5145749	typical chromosome	No	
GCF_001901105.1-NZ_CP010197.1	Escherichia	146524	typical plasmid	No	
GCF_001901105.1-NZ_CP010198.1	Escherichia	6037	typical plasmid	No	
GCF_001901105.1-NZ_CP010199.1	Escherichia	6039	typical plasmid	No	
GCF_001901125.1-NZ_CP010200.1	Escherichia	4821620	typical chromosome	No	
GCF_001901125.1-NZ_CP010201.1	Escherichia	116581	typical plasmid	No	
GCF_001901125.1-NZ_CP010202.1	Escherichia	5066	typical plasmid	No	
GCF_001901125.1-NZ_CP010203.1	Escherichia	4372	typical plasmid	No	
GCF_001901125.1-NZ_CP010204.1	Escherichia	3904	typical plasmid	No	
GCF_001901125.1-NZ_CP010205.1	Escherichia	3258	typical plasmid	No	
GCF_001901145.1-NZ_CP010206.1	Escherichia	5032791	typical chromosome	No	
GCF_001901145.1-NZ_CP010207.1	Escherichia	138950	typical plasmid	No	
GCF_001901145.1-NZ_CP010208.1	Escherichia	56029	intermediate replicon	No	
GCF_001901145.1-NZ_CP010209.1	Escherichia	61005	typical plasmid	No	
GCF_001901145.1-NZ_CP010210.1	Escherichia	6038	typical plasmid	No	
