contig	organism	genus	size	plasmidness-original	plasmidness-pident_90	plasmidness-pident_95	original category	category-pident_90	GC_content	topology
GCF_000801185.2-NZ_CP009106.2	Escherichia coli	Escherichia	4884464	0.0023714957189259	0.0021573185618979	0.002085714873498	chromosome	typical chromosome	0.5068979933110368	circular
GCF_000801185.2-NZ_CP009107.1	Escherichia coli	Escherichia	161447	0.7912955678183762	0.8256005425351136	0.8683029069736264	plasmid	typical plasmid	0.4946638835035646	linear
GCF_000814145.2-NZ_CP010371.1	Escherichia coli	Escherichia	4761012	0.0045653436721171	0.0044328386656779	0.0042509072788891	chromosome	typical chromosome	0.5081942662610386	circular
GCF_000814145.2-NZ_CP010372.1	Escherichia coli	Escherichia	151583	0.8065684307399407	0.8087480563998517	0.8365057269087857	plasmid	typical plasmid	0.5194052103468066	circular
GCF_000814145.2-NZ_CP010373.2	Escherichia coli	Escherichia	193908	0.9119953365254428	0.9160208928390614	0.9195016131747203	plasmid	typical plasmid	0.528276295975411	circular
GCF_000819645.1-NZ_CP010315.1	Escherichia coli	Escherichia	5017219	0.0065762410442283	0.0061770856604949	0.0059635355034655	chromosome	typical chromosome	0.5078779698474394	circular
GCF_000819645.1-NZ_CP010317.1	Escherichia coli	Escherichia	106397	0.8942283525016479	0.9313589618525434	0.9445980596821824	plasmid	typical plasmid	0.5070443715518295	linear
GCF_000819645.1-NZ_CP010318.1	Escherichia coli	Escherichia	4599	0.998058108424756	0.993737469892226	0.9985604535904852	plasmid	typical plasmid	0.5044574907588606	linear
GCF_000819645.1-NZ_CP010316.1	Escherichia coli	Escherichia	144859	0.8442002688815193	0.8521751331087554	0.8721256528791961	plasmid	typical plasmid	0.5043179919784065	linear
GCF_000830035.1-NZ_CP010585.1	Escherichia coli	Escherichia	4557511	0.0032500969623302	0.003030463196728	0.0028444529920928	chromosome	typical chromosome	0.5083467708580407	circular
GCF_000833145.1-NZ_CP010816.1	Escherichia coli	Escherichia	4528118	0.0032535556410781	0.0030468702810495	0.0028585042893804	chromosome	typical chromosome	0.5080088460592237	circular
GCF_000833635.2-NZ_CP011124.1	Escherichia coli	Escherichia	4502758	0.00269143600842	0.0024902195462063	0.0022512396608852	chromosome	typical chromosome	0.5078285353110249	circular
GCF_000931565.1-NZ_CP010876.1	Escherichia coli	Escherichia	5010884	0.0048929107159258	0.0044188693846069	0.0038640219961467	chromosome	typical chromosome	0.5076703032838118	circular
GCF_000931565.1-NZ_CP010877.1	Escherichia coli	Escherichia	1506	0.9908198075515592	0.9903491106842984	0.9919131290786968	plasmid	typical plasmid	0.50199203187251	circular
GCF_000931565.1-NZ_CP010878.1	Escherichia coli	Escherichia	4088	0.9962262017093292	0.9946732266085492	0.9927350682653868	plasmid	typical plasmid	0.4987769080234833	circular
GCF_000931565.1-NZ_CP010879.1	Escherichia coli	Escherichia	5167	0.999601783044904	0.999584265653296	0.99933015788515	plasmid	typical plasmid	0.475130636733114	circular
GCF_000931565.1-NZ_CP010880.1	Escherichia coli	Escherichia	30855	0.9778939298254412	0.9781471039999868	0.9765825980655294	plasmid	typical plasmid	0.4177604926268027	circular
GCF_000931565.1-NZ_CP010881.1	Escherichia coli	Escherichia	116803	0.9364597939614104	0.9326902531193746	0.9322175407181936	plasmid	typical plasmid	0.5216047533025693	circular
GCF_000931565.1-NZ_CP010882.1	Escherichia coli	Escherichia	122966	0.8370811203598324	0.8403022773781327	0.8415093047607455	plasmid	typical plasmid	0.5126539043312786	circular
GCF_000952955.1-NZ_LM995446.1	Escherichia coli	Escherichia	4585620	0.0028956459484893	0.002712373309355	0.0025045964606934	chromosome	typical chromosome	0.5078996951339186	circular
GCF_000953515.1-NZ_LM993812.1	Escherichia coli	Escherichia	4584860	0.0030466773637436	0.0028549258707961	0.0025934029534132	chromosome	typical chromosome	0.5081995960618209	circular
GCF_000967155.2-NZ_HF572917.1	Escherichia coli	Escherichia	5277676	0.0146912881206787	0.0125926000539274	0.0112167381027042	chromosome	typical chromosome	0.5071573169705756	circular
GCF_000967155.2-NC_022742.1	Escherichia coli	Escherichia	88546	0.9708740959346964	0.971096701822262	0.9710329923509146	plasmid	typical plasmid	0.4972782508526641	circular
GCF_000967155.2-NC_022743.1	Escherichia coli	Escherichia	75569	0.7098902678482785	0.744077535389832	0.7647132995185328	plasmid	typical plasmid	0.4716219613862827	circular
GCF_000967155.2-NC_022741.1	Escherichia coli	Escherichia	1549	0.9932465155224854	0.996170710331247	0.9928614502000022	plasmid	typical plasmid	0.5080697224015494	circular
GCF_000971615.1-NZ_CP011018.1	Escherichia coli	Escherichia	4885378	0.0025085902160479	0.0020943033615713	0.0020112978882564	chromosome	typical chromosome	0.5079780929950558	circular
GCF_000971615.1-NZ_CP011019.1	Escherichia coli	Escherichia	207265	0.6666488133971209	0.7316192630855025	0.7861981291128562	plasmid	typical plasmid	0.4731286034786384	circular
GCF_000987875.1-NZ_CP007594.1	Escherichia coli	Escherichia	5153435	0.0075482201956559	0.0074854136169114	0.0068280771651949	chromosome	typical chromosome	0.5075729101075303	circular
GCF_001007915.1-NZ_CP011416.1	Escherichia coli	Escherichia	4947515	0.0029983715345565	0.002627974405153	0.0025121282837646	chromosome	typical chromosome	0.5074854750314046	circular
GCF_001007915.1-NZ_CP011417.1	Escherichia coli	Escherichia	293826	0.6781320221111365	0.6968445286705314	0.751606511647731	plasmid	typical plasmid	0.4661534377488718	circular
GCF_001007915.1-NZ_CP011418.1	Escherichia coli	Escherichia	47606	0.8124214480890942	0.8125463930849531	0.8222171567345854	plasmid	typical plasmid	0.5184850649077848	circular
GCF_001021595.1-NZ_CP007275.1	Escherichia coli	Escherichia	5002781	0.0040521521301218	0.0038536165150102	0.0035212854040741	chromosome	typical chromosome	0.5074651478847465	circular
GCF_001039415.1-NZ_CP011938.1	Escherichia coli	Escherichia	4501450	0.0032416436596465	0.0030283357649545	0.002840136265434	chromosome	typical chromosome	0.5081331570938253	circular
GCF_001043215.1-NZ_CP011495.1	Escherichia coli	Escherichia	4678046	0.0034723554935696	0.0030800035672613	0.002886702873844	chromosome	typical chromosome	0.507457600887208	circular
GCF_001043215.1-NZ_CP011496.1	Escherichia coli	Escherichia	67545	0.981494057188978	0.9799391930800908	0.9748708563100892	plasmid	typical plasmid	0.5166777703753054	circular
GCF_001183645.1-NZ_CP012125.1	Escherichia coli	Escherichia	4614223	0.0031484642470213	0.0029439345714066	0.0026375194047073	chromosome	typical chromosome	0.5082725737355996	circular
GCF_001183665.1-NZ_CP012126.1	Escherichia coli	Escherichia	4612363	0.003148280001833	0.0029435166276634	0.0026370745457758	chromosome	typical chromosome	0.5082602995471085	circular
GCF_001183685.1-NZ_CP012127.1	Escherichia coli	Escherichia	4609522	0.0031506194477164	0.0029457492725251	0.00263944754036	chromosome	typical chromosome	0.5082234123191082	circular
GCF_001276585.2-NZ_CP011113.2	Escherichia coli	Escherichia	4587291	0.0028960995165493	0.0027182403094129	0.0024688730715989	chromosome	typical chromosome	0.5081737783803121	circular
GCF_001280325.1-NZ_CP012635.1	Escherichia coli	Escherichia	5048243	0.0054108686686755	0.0047753838968917	0.0041849336675248	chromosome	typical chromosome	0.506484731420417	circular
GCF_001280325.1-NZ_CP012636.1	Escherichia coli	Escherichia	149683	0.8282902252908653	0.8359462383918533	0.8552856104108694	plasmid	typical plasmid	0.5105656620992364	circular
GCF_001280325.1-NZ_CP012637.1	Escherichia coli	Escherichia	5167	0.9995969125323632	0.9995808663232794	0.9992609631546724	plasmid	typical plasmid	0.475130636733114	circular
GCF_001280325.1-NZ_CP012638.1	Escherichia coli	Escherichia	3904	0.9996851612576794	0.9997745057625088	0.999665022189012	plasmid	typical plasmid	0.5102459016393442	circular
GCF_001280345.1-NZ_CP012625.1	Escherichia coli	Escherichia	5142799	0.0028831764720641	0.0026370541068033	0.0023037836184113	chromosome	typical chromosome	0.5064078918892222	circular
GCF_001280345.1-NZ_CP012626.1	Escherichia coli	Escherichia	110808	0.8562540571159603	0.8563389071257452	0.8669255476316804	plasmid	typical plasmid	0.5172460472168074	circular
GCF_001280345.1-NZ_CP012627.1	Escherichia coli	Escherichia	92766	0.9683644141098968	0.9679308951602325	0.9679821525794516	plasmid	typical plasmid	0.4984908263803548	circular
GCF_001280345.1-NZ_CP012628.1	Escherichia coli	Escherichia	6647	0.9627407500822596	0.9783959877725692	0.9974635451434556	plasmid	typical plasmid	0.4860839476455544	circular
GCF_001280345.1-NZ_CP012629.1	Escherichia coli	Escherichia	4072	0.9963120578757612	0.9974137568424228	0.996431758619532	plasmid	typical plasmid	0.4980353634577603	circular
GCF_001280345.1-NZ_CP012630.1	Escherichia coli	Escherichia	1551	0.9933982298198674	0.9944657481263728	1.0	plasmid	typical plasmid	0.5164410058027079	circular
GCF_001280385.1-NZ_CP012633.1	Escherichia coli	Escherichia	4910962	0.0025819955710072	0.0023716451153095	0.0020051111457318	chromosome	typical chromosome	0.5061267018559704	circular
GCF_001280385.1-NZ_CP012634.1	Escherichia coli	Escherichia	114221	0.8701188388102417	0.8752901047260067	0.8793187109347589	plasmid	typical plasmid	0.5101688831300724	circular
GCF_001280405.1-NZ_CP012631.1	Escherichia coli	Escherichia	5059732	0.00524556377573	0.0047367368313205	0.0042764233853768	chromosome	typical chromosome	0.506267920909645	circular
GCF_001280405.1-NZ_CP012632.1	Escherichia coli	Escherichia	93074	0.9483299773912052	0.9475923928574344	0.9477516085624288	plasmid	typical plasmid	0.5301265659582698	circular
GCF_001308125.1-NZ_CP012869.1	Escherichia coli	Escherichia	4641684	0.0028452208866285	0.0026497212652722	0.0024309100510065	chromosome	typical chromosome	0.5079051051299486	circular
GCF_001308165.1-NZ_CP012870.1	Escherichia coli	Escherichia	4641689	0.0028452336492192	0.002649724359956	0.0024317892034937	chromosome	typical chromosome	0.5079045580175664	circular
GCF_001420935.1-NZ_CP013029.1	Escherichia coli	Escherichia	5202850	0.0052504859995486	0.0049968495790697	0.0042876066227294	chromosome	typical chromosome	0.5066673073411688	circular
GCF_001420935.1-NZ_CP013028.1	Escherichia coli	Escherichia	74656	0.7457662095102033	0.8059953201722244	0.8309419144789632	plasmid	typical plasmid	0.4842879339905701	circular
GCF_001420935.1-NZ_CP013030.1	Escherichia coli	Escherichia	97704	0.9211169735873852	0.9285261961282414	0.9388995484073422	plasmid	typical plasmid	0.4774318349299926	circular
GCF_001420955.1-NZ_CP013025.1	Escherichia coli	Escherichia	5155368	0.0098667973444622	0.0092355267142317	0.0083393688413365	chromosome	typical chromosome	0.5075831638013039	circular
GCF_001420955.1-NZ_CP013024.1	Escherichia coli	Escherichia	120611	0.9155003218305394	0.9296354803345812	0.935140428800212	plasmid	typical plasmid	0.5319995688618783	circular
GCF_001420955.1-NZ_CP013026.1	Escherichia coli	Escherichia	63800	0.9832171554436566	0.9829196653239488	0.9825027445614696	plasmid	typical plasmid	0.5210658307210031	circular
GCF_001420955.1-NZ_CP013027.1	Escherichia coli	Escherichia	174564	0.7396854797685593	0.7540013921861787	0.7713109728596377	plasmid	typical plasmid	0.4950218830915882	circular
GCF_001442495.1-NZ_CP013112.1	Escherichia coli	Escherichia	4863501	0.0055450339988079	0.0053151467080936	0.0047436217815571	chromosome	typical chromosome	0.5056390447950972	circular
GCF_001469815.1-NZ_CP013658.1	Escherichia coli	Escherichia	5106662	0.0052406288937289	0.0047273152149058	0.0042312441633691	chromosome	typical chromosome	0.5077567303259938	circular
GCF_001469815.1-NZ_CP013657.1	Escherichia coli	Escherichia	143748	0.9188608811966636	0.920459128782964	0.920840149841829	plasmid	typical plasmid	0.5275412527478643	circular
GCF_001485455.1-NZ_CP008697.1	Escherichia coli	Escherichia	5056598	0.0035781649480831	0.0034568841003471	0.0031810699580792	chromosome	typical chromosome	0.5055080510651628	circular
GCF_001485455.1-NZ_CP008715.1	Escherichia coli	Escherichia	120653	0.8412518863960181	0.8476975015814671	0.8577702900937829	plasmid	typical plasmid	0.516895559994364	circular
GCF_001485455.1-NZ_CP008716.1	Escherichia coli	Escherichia	5167	0.9995969956734624	0.999581014515762	0.999282419746988	plasmid	typical plasmid	0.4745500290303851	circular
GCF_001485455.1-NZ_CP008717.1	Escherichia coli	Escherichia	4237	0.999312601871198	0.999449011793298	1.0	plasmid	typical plasmid	0.4075997167807411	circular
GCF_001485455.1-NZ_CP008718.1	Escherichia coli	Escherichia	4073	0.9956751504220488	0.9964380255169027	0.995835124362971	plasmid	typical plasmid	0.5160815123987234	circular
GCF_001485455.1-NZ_CP008719.1	Escherichia coli	Escherichia	2101	0.9901084553851796	0.989923371521396	0.9897555609045892	plasmid	typical plasmid	0.4716801523084246	circular
GCF_001485455.1-NZ_CP008720.1	Escherichia coli	Escherichia	1544	0.9933517755424952	0.9962110151979398	0.9963921542568204	plasmid	typical plasmid	0.5148963730569949	circular
GCF_001485455.1-NZ_CP008721.1	Escherichia coli	Escherichia	1459	0.9899547564416344	0.9894885003163796	0.9925597754402778	plasmid	typical plasmid	0.5092529129540782	circular
GCF_001513615.1-NZ_CP013831.1	Escherichia coli	Escherichia	5073822	0.0046426223790896	0.0041174219585503	0.0036784034485017	chromosome	typical chromosome	0.5081705664881425	circular
GCF_001513615.1-NZ_CP013832.1	Escherichia coli	Escherichia	145221	0.8668906172797128	0.8681975932749527	0.875101080642528	plasmid	typical plasmid	0.5287458425434338	circular
GCF_001513635.1-NZ_CP013835.1	Escherichia coli	Escherichia	5128614	0.0058653319096969	0.005306655313051	0.004850297175597	chromosome	typical chromosome	0.5077650608916952	circular
GCF_001513635.1-NZ_CP013833.1	Escherichia coli	Escherichia	126302	0.9189909153395206	0.921143969048039	0.9209774639512588	plasmid	typical plasmid	0.5256448828997166	circular
GCF_001513635.1-NZ_CP013834.1	Escherichia coli	Escherichia	62183	0.9598906754245958	0.9606250209172952	0.9674319477818212	plasmid	typical plasmid	0.5073412347426145	circular
GCF_001515725.1-NZ_CP007491.1	Escherichia coli	Escherichia	4879931	0.003552235320761	0.0031570281608238	0.0024387283008369	chromosome	typical chromosome	0.5068762242744825	circular
GCF_001549955.1-NZ_AP014857.1	Escherichia albertii	Escherichia	4657167	0.0019544244675193	0.0016030142294156	0.0011539037348019	chromosome	typical chromosome	0.4976093835587171	circular
GCF_001566615.1-NZ_CP014495.1	Escherichia coli	Escherichia	5061821	0.0037370725537147	0.0032862320994489	0.002979501912309	chromosome	typical chromosome	0.5064286153145281	circular
GCF_001566615.1-NZ_CP014496.1	Escherichia coli	Escherichia	114223	0.8701234203265732	0.8753674329405008	0.8793700025291026	plasmid	typical plasmid	0.5102037242937062	circular
GCF_001566635.1-NZ_CP014488.1	Escherichia coli	Escherichia	4897758	0.0021365513422365	0.0015441197070694	0.0011790406785412	chromosome	typical chromosome	0.5067880038172567	circular
GCF_001566635.1-NZ_CP014489.1	Escherichia coli	Escherichia	149732	0.8367495735343207	0.8443964837502921	0.863790011147483	plasmid	typical plasmid	0.5108393663345177	circular
GCF_001566635.1-NZ_CP014490.1	Escherichia coli	Escherichia	109910	0.9489579520129344	0.9691272992387936	0.989789015955715	plasmid	typical plasmid	0.456901100900737	circular
GCF_001566635.1-NZ_CP014491.1	Escherichia coli	Escherichia	62572	0.4947199087754521	0.510082976823239	0.5176400856905953	plasmid	typical plasmid	0.4811577063223167	circular
GCF_001566675.1-NZ_CP014497.1	Escherichia coli	Escherichia	5046610	0.0046033645483337	0.0040890319936171	0.0035900038071852	chromosome	typical chromosome	0.5078228751577791	circular
GCF_001566675.1-NZ_CP014498.1	Escherichia coli	Escherichia	209768	0.8233401208564987	0.8256985923943432	0.8285558560031799	plasmid	typical plasmid	0.5345619922962511	circular
GCF_001577325.1-NZ_CP014522.1	Escherichia coli	Escherichia	5033359	0.0040636630193951	0.0035746216172653	0.0031858893075569	chromosome	typical chromosome	0.5070748976975415	circular
GCF_001577325.1-NZ_CP014523.1	Escherichia coli	Escherichia	114223	0.8700214376110709	0.8752748714436503	0.8793624302722055	plasmid	typical plasmid	0.5101949694895074	circular
GCF_001577325.1-NZ_CP014524.1	Escherichia coli	Escherichia	49467	0.9430846356818025	0.9443504764014186	0.9439721511267156	plasmid	typical plasmid	0.519214830088746	circular
GCF_001612475.1-NZ_CP015020.1	Escherichia coli	Escherichia	5561698	0.0045422122016759	0.0039644097343723	0.0036564512186537	chromosome	typical chromosome	0.5058124335409797	circular
GCF_001612475.1-NZ_CP015021.1	Escherichia coli	Escherichia	81401	0.902289597972101	0.9153678584166716	0.9265747240368324	plasmid	typical plasmid	0.4814682866303854	circular
GCF_001612495.1-NZ_CP015023.1	Escherichia coli	Escherichia	5506801	0.0044724513003257	0.0040088395837826	0.0036837837491401	chromosome	typical chromosome	0.5055405125407655	circular
GCF_001612495.1-NZ_CP015022.1	Escherichia coli	Escherichia	95170	0.8831941373301422	0.9190583912932154	0.9309888644285756	plasmid	typical plasmid	0.4776400126090154	circular
GCF_001617565.1-NZ_CP015138.1	Escherichia coli	Escherichia	5009900	0.005150736749897	0.004620454566933	0.0041313713324499	chromosome	typical chromosome	0.5075065370566278	circular
GCF_001617565.1-NZ_CP015140.1	Escherichia coli	Escherichia	129154	0.7960088487620951	0.7988294442516416	0.8008517761655021	plasmid	typical plasmid	0.5254192669216594	circular
GCF_001617565.1-NZ_CP015141.1	Escherichia coli	Escherichia	82588	0.9679419094032848	0.9734042341440065	0.9824887474274177	plasmid	typical plasmid	0.5328498086889136	circular
GCF_001617565.1-NZ_CP015142.1	Escherichia coli	Escherichia	4072	0.9962707679997268	0.9943231585424712	0.9965945832269568	plasmid	typical plasmid	0.4980353634577603	circular
GCF_001617565.1-NZ_CP015143.1	Escherichia coli	Escherichia	1549	0.993345016339688	0.9962154678321578	0.9937547230674196	plasmid	typical plasmid	0.5100064557779213	circular
GCF_001617565.1-NZ_CP015144.1	Escherichia coli	Escherichia	4204	0.999666627662193	0.9996560980134302	0.9996385659389267	plasmid	typical plasmid	0.461465271170314	linear
GCF_001617565.1-NZ_CP015139.1	Escherichia coli	Escherichia	186826	0.9426476050082976	0.9550649836196832	0.9565157196971869	plasmid	typical plasmid	0.5212711292860737	circular
GCF_001618325.1-NZ_CP015069.1	Escherichia coli	Escherichia	4856574	0.005529464235607	0.0050460903320675	0.0044864223313209	chromosome	typical chromosome	0.5071352768433056	circular
GCF_001618325.1-NZ_CP015070.1	Escherichia coli	Escherichia	111851	0.7995875108336872	0.8017156798061247	0.8070517324761798	plasmid	typical plasmid	0.5086677812446916	circular
GCF_001618325.1-NZ_CP015072.1	Escherichia coli	Escherichia	65196	0.980556196053898	0.9812689235756422	0.982950937490008	plasmid	typical plasmid	0.5133750536842752	circular
GCF_001618325.1-NZ_CP015073.1	Escherichia coli	Escherichia	37000	0.9454416237370624	0.969240817851344	0.9772558896163244	plasmid	typical plasmid	0.617	circular
GCF_001618325.1-NZ_CP015071.1	Escherichia coli	Escherichia	69471	0.9247336272062228	0.9354846252468292	0.9338291419820596	plasmid	typical plasmid	0.5093060413697802	circular
GCF_001618345.2-NZ_CP015074.2	Escherichia coli	Escherichia	4977366	0.0052160198848163	0.0047614953370781	0.0043809368439173	chromosome	typical chromosome	0.5075001516866552	circular
GCF_001618345.2-NZ_CP015075.2	Escherichia coli	Escherichia	63544	0.9357036430541312	0.9354373906113108	0.933839513371833	plasmid	typical plasmid	0.5120703764320785	circular
GCF_001618365.1-NZ_CP015076.1	Escherichia coli	Escherichia	5007393	0.0052521164585335	0.0047236562393491	0.004309264928793	chromosome	typical chromosome	0.5073462378527109	circular
GCF_001618365.1-NZ_CP015077.1	Escherichia coli	Escherichia	133735	0.8767229944418045	0.8777786285216463	0.8790649317125514	plasmid	typical plasmid	0.5273114741840207	circular
GCF_001618365.1-NZ_CP015078.1	Escherichia coli	Escherichia	71170	0.8460106193465656	0.9262228239716732	0.9285671089209816	plasmid	typical plasmid	0.5019249683855557	circular
GCF_001644725.1-NZ_CP015240.1	Escherichia coli	Escherichia	4863599	0.0027504074979995	0.0025099093265801	0.0024972262268076	chromosome	typical chromosome	0.5088009928450105	circular
GCF_001644725.1-NZ_CP015239.1	Escherichia coli	Escherichia	125977	0.767797978045025	0.781738480950418	0.8424667192879997	plasmid	typical plasmid	0.5031870897068512	circular
GCF_001644745.1-NZ_CP015241.1	Escherichia coli	Escherichia	5428937	0.0055388949559367	0.004995346521142	0.004397993519917	chromosome	typical chromosome	0.5044552920765152	circular
GCF_001644745.1-NZ_CP015242.1	Escherichia coli	Escherichia	66029	0.840407704248717	0.8628674494490444	0.902582544233177	plasmid	typical plasmid	0.489406170016205	circular
GCF_001645235.2-NZ_CP024479.1	Escherichia coli	Escherichia	5336099	0.003335851289529	0.0029071075818892	0.0024637365542937	chromosome	typical chromosome	0.5075164460029696	circular
GCF_001645235.2-NZ_CP024480.1	Escherichia coli	Escherichia	77062	0.8682636453082448	0.8870472731211715	0.9089858178515956	plasmid	typical plasmid	0.4884249046222522	circular
GCF_001645235.2-NZ_CP024481.1	Escherichia coli	Escherichia	105489	0.8907998413353455	0.8908122323032288	0.8855483092577223	plasmid	typical plasmid	0.4960612006939112	circular
GCF_001660565.1-NZ_CP015995.1	Escherichia coli	Escherichia	4994918	0.0055729953609665	0.0058491585577791	0.0058573011217867	chromosome	typical chromosome	0.5074195412216977	circular
GCF_001660565.1-NZ_CP015996.1	Escherichia coli	Escherichia	93029	0.9811379399495924	0.98003256880104	0.9806196806136064	plasmid	typical plasmid	0.5053155467649872	circular
GCF_001660565.1-NZ_CP015997.1	Escherichia coli	Escherichia	98216	0.921215685122506	0.9386909679682538	0.959956640360392	plasmid	typical plasmid	0.4724281176183106	circular
GCF_001660585.1-NZ_CP016007.1	Escherichia coli	Escherichia	5026105	0.0052727136752915	0.0047601033442868	0.0039547543025427	chromosome	typical chromosome	0.5065696001177851	circular
GCF_001660585.1-NZ_CP016008.1	Escherichia coli	Escherichia	40158	0.9972777835879012	0.9971128108310664	0.9998958187884732	plasmid	typical plasmid	0.4118731012500622	circular
GCF_001660585.1-NZ_CP016009.1	Escherichia coli	Escherichia	8556	0.9981953531772028	0.998125744884123	0.9992254150034328	plasmid	typical plasmid	0.4746376811594203	circular
GCF_001663075.1-NZ_CP016018.1	Escherichia coli	Escherichia	4595577	0.0031887587895317	0.0029955493944861	0.002729112978982	chromosome	typical chromosome	0.5083196299398313	circular
GCF_001663475.1-NZ_CP015159.1	Escherichia coli	Escherichia	5012253	0.0041261116575495	0.003725713869357	0.0032233807043518	chromosome	typical chromosome	0.5073816106250024	circular
GCF_001663475.1-NZ_CP015160.1	Escherichia coli	Escherichia	212180	0.9019836418179158	0.9050044972433936	0.9072500872476582	plasmid	typical plasmid	0.5148788764256763	circular
GCF_001663475.1-NZ_CP015161.1	Escherichia coli	Escherichia	88023	0.9856469220713996	0.9875672693551204	0.99049630387884	plasmid	typical plasmid	0.4984947116094657	circular
GCF_001675145.1-NZ_CP014667.1	Escherichia coli	Escherichia	5116831	0.00625405249602	0.0054466123778353	0.0049468568677644	chromosome	typical chromosome	0.50430823296685	circular
GCF_001675145.1-NZ_CP014668.1	Escherichia coli	Escherichia	101201	0.8761827182070256	0.8821751190229304	0.8856970253153538	plasmid	typical plasmid	0.514451438226895	circular
GCF_001675145.1-NZ_CP014669.1	Escherichia coli	Escherichia	113852	0.9586400472308044	0.9604164495262748	0.9675031032892306	plasmid	typical plasmid	0.5369339142044057	circular
GCF_001677475.2-NZ_CP015229.1	Escherichia coli	Escherichia	5498453	0.0222903049977536	0.0218207295853928	0.0217601377266687	chromosome	typical chromosome	0.5060325149637543	circular
GCF_001677475.2-NZ_CP012497.1	Escherichia coli	Escherichia	136480	0.6665411529302193	0.6725849248616897	0.699630128413271	plasmid	typical plasmid	0.4943508206330598	circular
GCF_001677475.2-NZ_CP012498.1	Escherichia coli	Escherichia	213847	0.7296203212532751	0.7992526508514189	0.827543376915163	plasmid	typical plasmid	0.4581546619779562	circular
GCF_001677495.1-NZ_CP015228.1	Escherichia coli	Escherichia	5286558	0.0033346046027873	0.0029413396052974	0.002878284354628	chromosome	typical chromosome	0.506758840061908	circular
GCF_001677495.1-NZ_CP012500.1	Escherichia coli	Escherichia	225292	0.7568631765967441	0.8332937587530456	0.8622016918632588	plasmid	typical plasmid	0.4628926016014772	circular
GCF_001677515.1-NZ_CP013662.1	Escherichia coli	Escherichia	5213998	0.0057323908251602	0.0053094063220692	0.0041951136391406	chromosome	typical chromosome	0.5078055265843984	circular
GCF_001677515.1-NZ_CP012501.1	Escherichia coli	Escherichia	242187	0.7267864015109413	0.7950548641474665	0.8241988951683148	plasmid	typical plasmid	0.4702894870492636	circular
GCF_001678925.1-NZ_CP013031.1	Escherichia coli	Escherichia	4731493	0.0035026453553521	0.0033055284808727	0.0031346889100607	chromosome	typical chromosome	0.507589676239614	circular
GCF_001678965.1-NZ_CP013663.1	Escherichia coli	Escherichia	5233459	0.0027981952048971	0.0024035399532771	0.0026722261397821	chromosome	typical chromosome	0.5075394686382372	circular
GCF_001678965.1-NZ_CP012499.1	Escherichia coli	Escherichia	223952	0.7607951820447851	0.8368252393497024	0.8675091814465995	plasmid	typical plasmid	0.4626080588697578	circular
GCF_001679985.1-NZ_CP015912.1	Escherichia coli	Escherichia	5005730	0.0062324161724003	0.0057038949125739	0.0056373952781886	chromosome	typical chromosome	0.5078935539871308	circular
