plasmid_id	size	source_type	ecosystem	host_taxonomy	genus	putatively_complete	topology	plasmidness-original	plasmidness-pident_90	plasmidness-pident_95	category-pident_90	predicted_mobility	AMR_type
IMGPR_plasmid_3300053491_000606	3726	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.99978995674173	0.9996959737743912	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000607	3895	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997864751439834	0.9997735950575052	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000608	4204	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	Yes	Direct terminal repeat	0.9997570745024312	0.9998855687655333	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000609	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997334642652428	0.9997069582003736	0.9996108895391614	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000614	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.999733799489764	0.999707378710232	0.9996108895391614	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000615	4204	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	Yes	Direct terminal repeat	0.9997570745024312	0.9998855687655333	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000616	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.999685066132534	0.9997744244624164	0.9995674576208916	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000617	3910	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997325893287878	0.9997049244810636	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000618	4197	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	Yes	Direct terminal repeat	0.9998021720453324	0.9997901899782732	0.9995391483783206	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000619	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.999733799489764	0.999707378710232	0.9996108895391614	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000620	3910	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997872942930476	0.9997742154767388	0.9996221807460614	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000621	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.999685066132534	0.9997744244624164	0.9995674576208916	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000622	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997334642652428	0.9997069582003736	0.9996108895391614	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000623	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.999685066132534	0.9997744244624164	0.9995674576208916	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000624	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997334634089262	0.9997059167039128	0.9996310852221384	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029094_000001	6417	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.986849012501236	0.9862496073208774	0.9859139332665768	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300012973_000001	5459	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9872727534664114	0.986527533869773	0.9844778863954888	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300030359_000001	3974	Metagenome	Host-associated;Birds;Digestive system;Large intestine;Ceca	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9996907054016698	0.999542034306474	0.9995772936182272	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000700	3895	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9996834301308088	0.999772409447256	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000708	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9996818117491976	0.9997744244624164	0.9995640856041988	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000709	3726	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997307660641774	0.999621038414092	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000710	3910	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9996850735086809	0.9997735947020044	0.9995596319801372	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300021306_000002	25993	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.986679924699334	0.986099369330248	0.9869028461343062	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300021318_000002	25990	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9866795975664482	0.9860989770608722	0.9869025981128984	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300021326_000002	25990	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9866795975664482	0.9860989770608722	0.9869025981128984	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029386_000001	10998	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9877855728719384	0.987295305195638	0.989570376247693	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029461_000001	6874	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9863353348102288	0.9859390282300972	0.985481730689556	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029126_000001	18223	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9814847208684442	0.9809441689955938	0.9827900520444884	typical plasmid	conjugative	non-AMR
IMGPR_plasmid_3300000283_000002	6682	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9867651095250378	0.9862799491318304	0.9875283279191116	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300039333_000002	6587	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.987920534286357	0.987855682393179	0.9874417996014372	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300039360_000001	4105	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9860613967371052	0.9852533736730016	0.984467023942771	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300010280_000001	5002	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9875776024595024	0.9868486241812344	0.9806366573437568	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029547_000001	4003	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9996929461069788	0.99954535206943	0.9995814478126138	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000778	5285	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997953196801708	0.999774056680541	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000779	5285	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997953196801708	0.999774056680541	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000780	5285	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997953196801708	0.999774056680541	1.0	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300023707_000002	27775	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9868553966008186	0.9863350350686096	0.9877550843686452	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300023713_000002	28143	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9868264921530316	0.9862492798464434	0.9871864954067758	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300030021_000001	31419	Metagenome	Host-associated;Fish;Digestive system;Intestine	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9877759770694472	0.9874363503561002	0.9873618855189132	typical plasmid	conjugative	non-AMR
IMGPR_plasmid_3300021310_000002	35574	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9869876964537388	0.9864985142754196	0.9818463482000528	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300021311_000002	35568	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9869868275617876	0.9864975641361144	0.9818316149008016	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300022377_000002	35610	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9869958449765662	0.9865068109249342	0.9819085946908788	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300023705_000002	36635	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9870464132304946	0.986569633279706	0.9820657230972484	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300014620_000001	39840	Metagenome	Host-associated;Mammals: Human;Digestive system;Biliary tract;Bile ducts: Bile	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9873186042644372	0.98683949605615	0.9846059152278352	typical plasmid	conjugative	non-AMR
IMGPR_plasmid_3300029516_000001	8076	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9908476180049022	0.9917219201838398	0.9940461111996352	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300029886_000001	8881	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9879988299913084	0.9888275053938594	0.9878395149122432	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300008350_000001	6627	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9862768406846124	0.9858430054700156	0.9853193175676732	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300015157_000001	6260	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9874589945916964	0.9876281639709128	0.9883054783843508	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300029212_000001	6046	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9876343365798576	0.991932944935472	0.9969446119318752	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300053491_000820	7102	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9998488616382236	0.9998365089291034	0.9997962913913268	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029516_000002	13728	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9888467038743236	0.9905991453903984	0.9907994420309548	typical plasmid	conjugative	non-AMR
IMGPR_plasmid_3300029843_000001	7055	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9870133509881288	0.9866692460717889	0.9853794004075386	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000825	6646	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9626964410863188	0.9785940094518732	0.9970329185725212	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300018467_000001	5096	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9879734724417686	0.9887457297978016	0.9921384103394132	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029136_000001	5408	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9997740274343582	0.999738792495206	0.9997796019477128	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300053491_000833	6074	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9998240161680572	0.999810356562832	0.9997583209691252	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000834	6170	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9998271760740972	0.9998160264172066	0.999767976586978	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300000235_000001	4663	Metagenome	Environmental;Aquatic;Freshwater;Groundwater;Cave water	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.9864238827246596	0.9857175922048912	0.985598765676466	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029497_000001	4675	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	No	Linear	0.987021904246096	0.9864296339171256	0.986351568968905	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300015157_000002	4470	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9740346967073068	0.9747821784445768	0.9742021487837078	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029762_000001	15400	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9864110430084532	0.9860922730919393	0.9848610177269042	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300021319_000001	24387	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9865989729443928	0.9863511861008964	0.9876605022136536	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300028456_000001	17089	Metagenome	Host-associated;Plants;Phyllosphere;Cob	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9849160781515032	0.9834182717066496	0.9816068653234152	typical plasmid	conjugative	non-AMR
IMGPR_plasmid_3300030035_000001	34005	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9876153008845476	0.9883842996208068	0.9867927653421072	typical plasmid	conjugative	non-AMR
IMGPR_plasmid_3300023290_000001	23680	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.988154769058992	0.9878174982518736	0.9873441939152572	typical plasmid	conjugative	non-AMR
